Wall R-Value:Input:F ft2 h /BTU,Window U-Value:Input:BTU/ F ft2 h,SHGC:Input:,Roof R-Value:Input:F ft2 h /BTU,HRV:Input:Efficiency,SHW:Input:System,MUA Heat:Input:System,TEUI:Output:(kWh/m2 y):120,GHGI:Output:(kgCO2/m2 y):5,TEDI:Output:(kWh/m2 y):30,LEED:Output:Points:-,NPV:Output:($):-
15,0.15,0.4,30,90,ASHP,HP,86.7,1.1,23.8,0,1729196
15,0.15,0.4,20,90,ASHP,HP,87.1,1.1,24.3,0,1744279
15,0.15,0.25,30,90,ASHP,HP,87.4,1.1,25,0,1756313
15,0.15,0.25,20,90,ASHP,HP,87.8,1.1,25.6,0,1774348
15,0.15,0.4,30,90,ASHP,Gas,89.9,1.9,23.8,0,1357206
15,0.15,0.4,20,90,ASHP,Gas,90.3,1.9,24.3,0,1372290
15,0.15,0.25,30,90,ASHP,Gas,90.6,1.9,25,0,1384323
15,0.15,0.25,20,90,ASHP,Gas,91,1.9,25.6,0,1402359
15,0.15,0.4,30,90,ASHP,Renew Gas,89.9,1,23.8,0,1389689
15,0.15,0.4,20,90,ASHP,Renew Gas,90.3,1,24.3,0,1404773
15,0.15,0.25,30,90,ASHP,Renew Gas,90.6,1,25,0,1416806
15,0.15,0.25,20,90,ASHP,Renew Gas,91,1,25.6,0,1434842
15,0.15,0.4,30,60,ASHP,HP,93.3,1.2,30.6,0,2259591
15,0.15,0.4,20,60,ASHP,HP,93.7,1.2,31.1,0,2274674
15,0.15,0.25,30,60,ASHP,HP,94,1.2,31.9,0,2286708
15,0.15,0.25,20,60,ASHP,HP,94.5,1.2,32.4,0,2304744
15,0.15,0.4,30,60,ASHP,Gas,96.5,2,30.6,0,1887602
15,0.15,0.4,20,60,ASHP,Gas,96.9,2,31.1,0,1902685
15,0.15,0.25,30,60,ASHP,Gas,97.2,2,31.9,0,1914719
15,0.15,0.25,20,60,ASHP,Gas,97.7,2,32.4,0,1932754
15,0.15,0.4,30,60,ASHP,Renew Gas,96.5,1.2,30.6,0,1920085
15,0.15,0.4,20,60,ASHP,Renew Gas,96.9,1.2,31.1,0,1935168
15,0.15,0.25,30,60,ASHP,Renew Gas,97.2,1.2,31.9,0,1947202
15,0.15,0.25,20,60,ASHP,Renew Gas,97.7,1.2,32.4,0,1965237
15,0.15,0.4,30,0,ASHP,HP,108.2,1.5,45.6,0,3441616
15,0.15,0.4,20,0,ASHP,HP,108.5,1.5,46.2,0,3456700
15,0.15,0.25,30,0,ASHP,HP,108.8,1.5,46.9,0,3468734
15,0.15,0.25,20,0,ASHP,HP,109.3,1.5,47.5,0,3486769
15,0.15,0.4,30,0,ASHP,Gas,111.4,2.3,45.6,0,3069627
15,0.15,0.4,20,0,ASHP,Gas,111.7,2.3,46.2,0,3084711
15,0.15,0.25,30,0,ASHP,Gas,112,2.3,46.9,0,3096744
15,0.15,0.25,20,0,ASHP,Gas,112.5,2.4,47.5,0,3114780
15,0.15,0.4,30,0,ASHP,Renew Gas,111.4,1.5,45.6,0,3102110
15,0.15,0.4,20,0,ASHP,Renew Gas,111.7,1.5,46.2,0,3117194
15,0.15,0.25,30,0,ASHP,Renew Gas,112,1.5,46.9,0,3129227
15,0.15,0.25,20,0,ASHP,Renew Gas,112.5,1.5,47.5,0,3147263
15,0.15,0.4,30,90,Gas,HP,98.2,4.8,23.8,0,484667
15,0.15,0.4,20,90,Gas,HP,98.6,4.8,24.3,0,499750
15,0.15,0.25,30,90,Gas,HP,98.9,4.8,25,0,511784
15,0.15,0.25,20,90,Gas,HP,99.4,4.8,25.6,0,529819
15,0.15,0.4,30,90,Gas,Gas,101.4,5.6,23.8,0,112677
15,0.15,0.4,20,90,Gas,Gas,101.8,5.6,24.3,0,127761
15,0.15,0.25,30,90,Gas,Gas,102.1,5.6,25,0,139795
15,0.15,0.25,20,90,Gas,Gas,102.5,5.6,25.6,0,157830
15,0.15,0.4,30,60,Gas,HP,104.9,4.9,30.6,0,1015062
15,0.15,0.4,20,60,Gas,HP,105.2,4.9,31.1,0,1030145
15,0.15,0.25,30,60,Gas,HP,105.5,4.9,31.9,0,1042179
15,0.15,0.25,20,60,Gas,HP,106,4.9,32.4,0,1060215
15,0.15,0.4,30,60,Gas,Gas,108.1,5.7,30.6,0,643073
15,0.15,0.4,20,60,Gas,Gas,108.4,5.7,31.1,0,658156
15,0.15,0.25,30,60,Gas,Gas,108.7,5.7,31.9,0,670190
15,0.15,0.25,20,60,Gas,Gas,109.2,5.7,32.4,0,688225
15,0.15,0.4,30,0,Gas,HP,119.7,5.2,45.6,0,2197087
15,0.15,0.4,20,0,Gas,HP,120.1,5.2,46.2,0,2212171
15,0.15,0.25,30,0,Gas,HP,120.4,5.2,46.9,0,2224205
15,0.15,0.25,20,0,Gas,HP,120.8,5.2,47.5,0,2242240
15,0.15,0.4,30,0,Gas,Gas,122.9,6,45.6,0,1825098
15,0.15,0.4,20,0,Gas,Gas,123.3,6,46.2,0,1840182
15,0.15,0.25,30,0,Gas,Gas,123.6,6,46.9,0,1852215
15,0.15,0.25,20,0,Gas,Gas,124,6,47.5,0,1870251
15,0.15,0.4,30,90,Renew Gas,HP,98.2,0.9,23.8,0,636329
15,0.15,0.4,20,90,Renew Gas,HP,98.6,0.9,24.3,0,651413
15,0.15,0.25,30,90,Renew Gas,HP,98.9,0.9,25,0,663447
15,0.15,0.25,20,90,Renew Gas,HP,99.4,0.9,25.6,0,681482
15,0.15,0.4,30,90,Renew Gas,Renew Gas,101.4,0.8,23.8,0,296823
15,0.15,0.4,20,90,Renew Gas,Renew Gas,101.8,0.8,24.3,0,311907
15,0.15,0.25,30,90,Renew Gas,Renew Gas,102.1,0.9,25,0,323940
15,0.15,0.25,20,90,Renew Gas,Renew Gas,102.5,0.9,25.6,0,341976
15,0.15,0.4,30,60,Renew Gas,HP,104.9,1,30.6,0,1166725
15,0.15,0.4,20,60,Renew Gas,HP,105.2,1,31.1,0,1181808
15,0.15,0.25,30,60,Renew Gas,HP,105.5,1,31.9,0,1193842
15,0.15,0.25,20,60,Renew Gas,HP,106,1,32.4,0,1211877
15,0.15,0.4,30,60,Renew Gas,Renew Gas,108.1,1,30.6,0,827218
15,0.15,0.4,20,60,Renew Gas,Renew Gas,108.4,1,31.1,0,842302
15,0.15,0.25,30,60,Renew Gas,Renew Gas,108.7,1,31.9,0,854336
15,0.15,0.25,20,60,Renew Gas,Renew Gas,109.2,1,32.4,0,872371
15,0.15,0.4,30,0,Renew Gas,HP,119.7,1.3,45.6,0,2348750
15,0.15,0.4,20,0,Renew Gas,HP,120.1,1.3,46.2,0,2363834
15,0.15,0.25,30,0,Renew Gas,HP,120.4,1.3,46.9,0,2375867
15,0.15,0.25,20,0,Renew Gas,HP,120.8,1.4,47.5,0,2393903
15,0.15,0.4,30,0,Renew Gas,Renew Gas,122.9,1.3,45.6,0,2009244
15,0.15,0.4,20,0,Renew Gas,Renew Gas,123.3,1.3,46.2,0,2024327
15,0.15,0.25,30,0,Renew Gas,Renew Gas,123.6,1.3,46.9,0,2036361
15,0.15,0.25,20,0,Renew Gas,Renew Gas,124,1.3,47.5,0,2054397
8,0.15,0.4,30,90,ASHP,HP,89.7,1.1,27.6,12,1847195
8,0.15,0.4,20,90,ASHP,HP,90.2,1.1,28.3,12,1869420
8,0.15,0.25,30,90,ASHP,HP,90.8,1.1,29.3,12,1893512
8,0.15,0.25,20,90,ASHP,HP,91.4,1.1,30,11,1918389
8,0.15,0.4,30,90,ASHP,Gas,92.9,1.9,27.6,13,1475206
8,0.15,0.4,20,90,ASHP,Gas,93.4,1.9,28.3,13,1497431
8,0.15,0.25,30,90,ASHP,Gas,94,1.9,29.3,12,1521523
8,0.15,0.25,20,90,ASHP,Gas,94.6,1.9,30,12,1546400
8,0.15,0.4,30,90,ASHP,Renew Gas,92.9,1.1,27.6,12,1507689
8,0.15,0.4,20,90,ASHP,Renew Gas,93.4,1.1,28.3,12,1529914
8,0.15,0.25,30,90,ASHP,Renew Gas,94,1.1,29.3,12,1554006
8,0.15,0.25,20,90,ASHP,Renew Gas,94.6,1.1,30,12,1578883
8,0.15,0.4,30,60,ASHP,HP,96.3,1.2,34.5,7,2377590
8,0.15,0.4,20,60,ASHP,HP,96.9,1.2,35.1,7,2399816
8,0.15,0.25,30,60,ASHP,HP,97.5,1.3,36.1,7,2423908
8,0.15,0.25,20,60,ASHP,HP,98.1,1.3,36.9,7,2448784
8,0.15,0.4,30,60,ASHP,Gas,99.5,2,34.5,8,2005601
8,0.15,0.4,20,60,ASHP,Gas,100.1,2.1,35.1,8,2027826
8,0.15,0.25,30,60,ASHP,Gas,100.7,2.1,36.1,8,2051918
8,0.15,0.25,20,60,ASHP,Gas,101.3,2.1,36.9,7,2076795
8,0.15,0.4,30,60,ASHP,Renew Gas,99.5,1.2,34.5,8,2038084
8,0.15,0.4,20,60,ASHP,Renew Gas,100.1,1.2,35.1,7,2060309
8,0.15,0.25,30,60,ASHP,Renew Gas,100.7,1.2,36.1,7,2084401
8,0.15,0.25,20,60,ASHP,Renew Gas,101.3,1.2,36.9,7,2109278
8,0.15,0.4,30,0,ASHP,HP,111.1,1.6,49.5,0,3559616
8,0.15,0.4,20,0,ASHP,HP,111.7,1.6,50.2,0,3581841
8,0.15,0.25,30,0,ASHP,HP,112.3,1.6,51.2,0,3605933
8,0.15,0.25,20,0,ASHP,HP,112.9,1.6,51.9,0,3630810
8,0.15,0.4,30,0,ASHP,Gas,114.3,2.4,49.5,0,3187627
8,0.15,0.4,20,0,ASHP,Gas,114.9,2.4,50.2,0,3209852
8,0.15,0.25,30,0,ASHP,Gas,115.5,2.4,51.2,0,3233944
8,0.15,0.25,20,0,ASHP,Gas,116.1,2.4,51.9,0,3258821
8,0.15,0.4,30,0,ASHP,Renew Gas,114.3,1.5,49.5,0,3220110
8,0.15,0.4,20,0,ASHP,Renew Gas,114.9,1.5,50.2,0,3242335
8,0.15,0.25,30,0,ASHP,Renew Gas,115.5,1.6,51.2,0,3266427
8,0.15,0.25,20,0,ASHP,Renew Gas,116.1,1.6,51.9,0,3291304
8,0.15,0.4,30,90,Gas,HP,101.2,4.8,27.6,14,602666
8,0.15,0.4,20,90,Gas,HP,101.7,4.8,28.3,14,624892
8,0.15,0.25,30,90,Gas,HP,102.3,4.8,29.3,13,648984
8,0.15,0.25,20,90,Gas,HP,103,4.8,30,13,673860
8,0.15,0.4,30,90,Gas,Gas,104.4,5.6,27.6,14,230677
8,0.15,0.4,20,90,Gas,Gas,104.9,5.6,28.3,14,252902
8,0.15,0.25,30,90,Gas,Gas,105.5,5.6,29.3,14,276994
8,0.15,0.25,20,90,Gas,Gas,106.2,5.6,30,14,301871
8,0.15,0.4,30,60,Gas,HP,107.8,4.9,34.5,8,1133061
8,0.15,0.4,20,60,Gas,HP,108.4,4.9,35.1,8,1155287
8,0.15,0.25,30,60,Gas,HP,109,4.9,36.1,8,1179379
8,0.15,0.25,20,60,Gas,HP,109.6,5,36.9,8,1204256
8,0.15,0.4,30,60,Gas,Gas,111,5.7,34.5,9,761072
8,0.15,0.4,20,60,Gas,Gas,111.6,5.7,35.1,9,783297
8,0.15,0.25,30,60,Gas,Gas,112.2,5.8,36.1,9,807390
8,0.15,0.25,20,60,Gas,Gas,112.8,5.8,36.9,9,832266
8,0.15,0.4,30,0,Gas,HP,122.6,5.3,49.5,0,2315087
8,0.15,0.4,20,0,Gas,HP,123.2,5.3,50.2,0,2337312
8,0.15,0.25,30,0,Gas,HP,123.8,5.3,51.2,0,2361404
8,0.15,0.25,20,0,Gas,HP,124.4,5.3,51.9,0,2386281
8,0.15,0.4,30,0,Gas,Gas,125.8,6.1,49.5,0,1943098
8,0.15,0.4,20,0,Gas,Gas,126.4,6.1,50.2,0,1965323
8,0.15,0.25,30,0,Gas,Gas,127,6.1,51.2,0,1989415
8,0.15,0.25,20,0,Gas,Gas,127.6,6.1,51.9,0,2014292
8,0.15,0.4,30,90,Renew Gas,HP,101.2,0.9,27.6,12,754329
8,0.15,0.4,20,90,Renew Gas,HP,101.7,0.9,28.3,12,776554
8,0.15,0.25,30,90,Renew Gas,HP,102.3,0.9,29.3,12,800646
8,0.15,0.25,20,90,Renew Gas,HP,103,0.9,30,12,825523
8,0.15,0.4,30,90,Renew Gas,Renew Gas,104.4,0.9,27.6,13,414823
8,0.15,0.4,20,90,Renew Gas,Renew Gas,104.9,0.9,28.3,13,437048
8,0.15,0.25,30,90,Renew Gas,Renew Gas,105.5,0.9,29.3,12,461140
8,0.15,0.25,20,90,Renew Gas,Renew Gas,106.2,0.9,30,12,486017
8,0.15,0.4,30,60,Renew Gas,HP,107.8,1,34.5,7,1284724
8,0.15,0.4,20,60,Renew Gas,HP,108.4,1.1,35.1,7,1306950
8,0.15,0.25,30,60,Renew Gas,HP,109,1.1,36.1,7,1331042
8,0.15,0.25,20,60,Renew Gas,HP,109.6,1.1,36.9,7,1355918
8,0.15,0.4,30,60,Renew Gas,Renew Gas,111,1,34.5,7,945218
8,0.15,0.4,20,60,Renew Gas,Renew Gas,111.6,1,35.1,7,967443
8,0.15,0.25,30,60,Renew Gas,Renew Gas,112.2,1,36.1,7,991535
8,0.15,0.25,20,60,Renew Gas,Renew Gas,112.8,1,36.9,7,1016412
8,0.15,0.4,30,0,Renew Gas,HP,122.6,1.4,49.5,0,2466750
8,0.15,0.4,20,0,Renew Gas,HP,123.2,1.4,50.2,0,2488975
8,0.15,0.25,30,0,Renew Gas,HP,123.8,1.4,51.2,0,2513067
8,0.15,0.25,20,0,Renew Gas,HP,124.4,1.4,51.9,0,2537944
8,0.15,0.4,30,0,Renew Gas,Renew Gas,125.8,1.4,49.5,0,2127243
8,0.15,0.4,20,0,Renew Gas,Renew Gas,126.4,1.4,50.2,0,2149469
8,0.15,0.25,30,0,Renew Gas,Renew Gas,127,1.4,51.2,0,2173561
8,0.15,0.25,20,0,Renew Gas,Renew Gas,127.6,1.4,51.9,0,2198437
15,0.25,0.4,30,90,ASHP,HP,88.5,1.1,26.5,0,1802595
15,0.25,0.4,20,90,ASHP,HP,89,1.1,27.1,0,1822641
15,0.25,0.25,30,90,ASHP,HP,89.6,1.1,28.2,0,1845633
15,0.25,0.25,20,90,ASHP,HP,90.2,1.1,28.9,0,1869298
15,0.25,0.4,30,90,ASHP,Gas,91.7,1.9,26.5,0,1430605
15,0.25,0.4,20,90,ASHP,Gas,92.2,1.9,27.1,0,1450652
15,0.25,0.25,30,90,ASHP,Gas,92.8,1.9,28.2,0,1473644
15,0.25,0.25,20,90,ASHP,Gas,93.4,1.9,28.9,0,1497309
15,0.25,0.4,30,90,ASHP,Renew Gas,91.7,1.1,26.5,0,1463088
15,0.25,0.4,20,90,ASHP,Renew Gas,92.2,1.1,27.1,0,1483135
15,0.25,0.25,30,90,ASHP,Renew Gas,92.8,1.1,28.2,0,1506127
15,0.25,0.25,20,90,ASHP,Renew Gas,93.4,1.1,28.9,0,1529792
15,0.25,0.4,30,60,ASHP,HP,95.2,1.2,33.4,0,2332990
15,0.25,0.4,20,60,ASHP,HP,95.7,1.2,34,0,2353037
15,0.25,0.25,30,60,ASHP,HP,96.3,1.2,35,0,2376028
15,0.25,0.25,20,60,ASHP,HP,96.9,1.2,35.7,0,2399694
15,0.25,0.4,30,60,ASHP,Gas,98.4,2,33.4,0,1961001
15,0.25,0.4,20,60,ASHP,Gas,98.9,2,34,0,1981047
15,0.25,0.25,30,60,ASHP,Gas,99.5,2,35,0,2004039
15,0.25,0.25,20,60,ASHP,Gas,100.1,2.1,35.7,0,2027704
15,0.25,0.4,30,60,ASHP,Renew Gas,98.4,1.2,33.4,0,1993484
15,0.25,0.4,20,60,ASHP,Renew Gas,98.9,1.2,34,0,2013530
15,0.25,0.25,30,60,ASHP,Renew Gas,99.5,1.2,35,0,2036522
15,0.25,0.25,20,60,ASHP,Renew Gas,100.1,1.2,35.7,0,2060187
15,0.25,0.4,30,0,ASHP,HP,110,1.6,48.4,0,3515015
15,0.25,0.4,20,0,ASHP,HP,110.5,1.6,49,0,3535062
15,0.25,0.25,30,0,ASHP,HP,111.1,1.6,50,0,3558054
15,0.25,0.25,20,0,ASHP,HP,111.7,1.6,50.7,0,3581719
15,0.25,0.4,30,0,ASHP,Gas,113.2,2.4,48.4,0,3143026
15,0.25,0.4,20,0,ASHP,Gas,113.7,2.4,49,0,3163073
15,0.25,0.25,30,0,ASHP,Gas,114.3,2.4,50,0,3186064
15,0.25,0.25,20,0,ASHP,Gas,114.9,2.4,50.7,0,3209730
15,0.25,0.4,30,0,ASHP,Renew Gas,113.2,1.5,48.4,0,3175509
15,0.25,0.4,20,0,ASHP,Renew Gas,113.7,1.5,49,0,3195556
15,0.25,0.25,30,0,ASHP,Renew Gas,114.3,1.5,50,0,3218547
15,0.25,0.25,20,0,ASHP,Renew Gas,114.9,1.5,50.7,0,3242213
15,0.25,0.4,30,90,Gas,HP,100.1,4.8,26.5,0,558066
15,0.25,0.4,20,90,Gas,HP,100.6,4.8,27.1,0,578112
15,0.25,0.25,30,90,Gas,HP,101.1,4.8,28.2,0,601104
15,0.25,0.25,20,90,Gas,HP,101.7,4.8,28.9,0,624769
15,0.25,0.4,30,90,Gas,Gas,103.3,5.6,26.5,0,186076
15,0.25,0.4,20,90,Gas,Gas,103.8,5.6,27.1,0,206123
15,0.25,0.25,30,90,Gas,Gas,104.3,5.6,28.2,0,229115
15,0.25,0.25,20,90,Gas,Gas,104.9,5.6,28.9,0,252780
15,0.25,0.4,30,60,Gas,HP,106.7,4.9,33.4,0,1088461
15,0.25,0.4,20,60,Gas,HP,107.2,4.9,34,0,1108508
15,0.25,0.25,30,60,Gas,HP,107.8,4.9,35,0,1131499
15,0.25,0.25,20,60,Gas,HP,108.4,4.9,35.7,0,1155165
15,0.25,0.4,30,60,Gas,Gas,109.9,5.7,33.4,0,716472
15,0.25,0.4,20,60,Gas,Gas,110.4,5.7,34,0,736518
15,0.25,0.25,30,60,Gas,Gas,111,5.7,35,0,759510
15,0.25,0.25,20,60,Gas,Gas,111.6,5.7,35.7,0,783175
15,0.25,0.4,30,0,Gas,HP,121.5,5.2,48.4,0,2270487
15,0.25,0.4,20,0,Gas,HP,122,5.3,49,0,2290533
15,0.25,0.25,30,0,Gas,HP,122.6,5.3,50,0,2313525
15,0.25,0.25,20,0,Gas,HP,123.2,5.3,50.7,0,2337190
15,0.25,0.4,30,0,Gas,Gas,124.7,6.1,48.4,0,1898497
15,0.25,0.4,20,0,Gas,Gas,125.2,6.1,49,0,1918544
15,0.25,0.25,30,0,Gas,Gas,125.8,6.1,50,0,1941535
15,0.25,0.25,20,0,Gas,Gas,126.4,6.1,50.7,0,1965201
15,0.25,0.4,30,90,Renew Gas,HP,100.1,0.9,26.5,0,709729
15,0.25,0.4,20,90,Renew Gas,HP,100.6,0.9,27.1,0,729775
15,0.25,0.25,30,90,Renew Gas,HP,101.1,0.9,28.2,0,752767
15,0.25,0.25,20,90,Renew Gas,HP,101.7,0.9,28.9,0,776432
15,0.25,0.4,30,90,Renew Gas,Renew Gas,103.3,0.9,26.5,0,370222
15,0.25,0.4,20,90,Renew Gas,Renew Gas,103.8,0.9,27.1,0,390269
15,0.25,0.25,30,90,Renew Gas,Renew Gas,104.3,0.9,28.2,0,413260
15,0.25,0.25,20,90,Renew Gas,Renew Gas,104.9,0.9,28.9,0,436926
15,0.25,0.4,30,60,Renew Gas,HP,106.7,1,33.4,0,1240124
15,0.25,0.4,20,60,Renew Gas,HP,107.2,1,34,0,1260170
15,0.25,0.25,30,60,Renew Gas,HP,107.8,1,35,0,1283162
15,0.25,0.25,20,60,Renew Gas,HP,108.4,1.1,35.7,0,1306827
15,0.25,0.4,30,60,Renew Gas,Renew Gas,109.9,1,33.4,0,900617
15,0.25,0.4,20,60,Renew Gas,Renew Gas,110.4,1,34,0,920664
15,0.25,0.25,30,60,Renew Gas,Renew Gas,111,1,35,0,943656
15,0.25,0.25,20,60,Renew Gas,Renew Gas,111.6,1,35.7,0,967321
15,0.25,0.4,30,0,Renew Gas,HP,121.5,1.4,48.4,0,2422149
15,0.25,0.4,20,0,Renew Gas,HP,122,1.4,49,0,2442196
15,0.25,0.25,30,0,Renew Gas,HP,122.6,1.4,50,0,2465188
15,0.25,0.25,20,0,Renew Gas,HP,123.2,1.4,50.7,0,2488853
15,0.25,0.4,30,0,Renew Gas,Renew Gas,124.7,1.3,48.4,0,2082643
15,0.25,0.4,20,0,Renew Gas,Renew Gas,125.2,1.3,49,0,2102690
